Dataset,Best Model,Combined Score,AUROC,Specificity,Sensitivity,F1 Score,PR AUC,Best Parameters,Feature Importance
1,Decision Tree,0.6243197278911564,0.7582417582417582,0.7692307692307693,0.7142857142857143,0.6666666666666666,0.610204081632653,"{'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}","[0.         0.         0.         0.         0.         0.
 0.         0.         0.         0.         0.         0.18779346
 0.         0.23171315 0.21563282 0.         0.         0.18155366
 0.         0.         0.11089688 0.         0.07241003 0.        ]"
3,Random Forest,0.5780740093240093,0.6373626373626373,0.7692307692307693,0.42857142857142855,0.46153846153846156,0.6169191919191919,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}","[0.00888032 0.0184337  0.0495546  0.00881815 0.01687616 0.03975922
 0.01046795 0.01889795 0.01443164 0.01455397 0.03625239 0.05605345
 0.04116143 0.03385392 0.0509718  0.03550306 0.01615184 0.01137783
 0.01445047 0.02507608 0.01724312 0.00853798 0.02442951 0.15838063
 0.01633239 0.00752385 0.02354851 0.05016649 0.0089442  0.02565297
 0.02308845 0.02099472 0.0112227  0.03154654 0.03829059 0.01257139]"
5,Random Forest,0.5089285714285714,0.8541666666666667,0.8333333333333334,0.25,0.2857142857142857,0.5833333333333333,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}","[0.04229933 0.02330678 0.02702873 0.11145484 0.04050889 0.01374713
 0.03776184 0.01451526 0.04354444 0.01427147 0.01902207 0.02446865
 0.00496134 0.00762411 0.00539166 0.02058039 0.01365019 0.03025706
 0.0106225  0.01179664 0.02951562 0.06879592 0.01110754 0.01585322
 0.0065218  0.02610795 0.00953523 0.00778118 0.05552339 0.00915479
 0.04668234 0.00970336 0.02339003 0.02262597 0.01596728 0.02552858
 0.01209874 0.0113671  0.01903605 0.01485391 0.02223591 0.0198008 ]"
7,Support Vector Classifier,0.5820405901288254,0.7747035573122529,0.9565217391304348,0.18181818181818182,0.2857142857142857,0.680816024933672,"{'kernel': 'rbf', 'gamma': 'scale', 'C': 10.0}",
8,Random Forest,0.526942458998347,0.5408163265306122,0.7619047619047619,0.42857142857142855,0.48,0.5425899453311294,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10}","[0.02540333 0.02623682 0.0193061  0.01625517 0.0107246  0.03702978
 0.01155638 0.03489142 0.03182775 0.01559597 0.03457224 0.01715538
 0.01412924 0.01840627 0.01530619 0.01453953 0.01849408 0.01670052
 0.01846099 0.02183978 0.0368959  0.01724609 0.01329    0.01595567
 0.01854605 0.01253782 0.01950416 0.0217654  0.01214212 0.01208879
 0.02788242 0.02317215 0.01381388 0.02133575 0.01404954 0.02125108
 0.01680732 0.0106429  0.01839173 0.02178824 0.01369823 0.01401833
 0.01574168 0.01623679 0.0367263  0.04372192 0.02661735 0.01742872
 0.02827215]"
12,Random Forest,0.5367458521870286,0.5416666666666666,0.5,0.5,0.4,0.5823278029160381,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}","[0.00611669 0.00148561 0.01885768 0.02113561 0.01039266 0.00684527
 0.00638906 0.00544614 0.00355523 0.00990124 0.03166415 0.02825887
 0.01287925 0.0046812  0.0146728  0.00451793 0.00207668 0.02423939
 0.02017771 0.0072224  0.00627544 0.01463959 0.00498977 0.00911943
 0.00224874 0.00486873 0.00099999 0.00674303 0.0060295  0.00198937
 0.00260626 0.00926277 0.00672913 0.09949972 0.0064433  0.01655975
 0.00698474 0.00309495 0.00750729 0.00469741 0.00305787 0.00490603
 0.02502931 0.0423258  0.00809018 0.10470864 0.00654225 0.00879732
 0.01284603 0.0057562  0.00386986 0.00985935 0.00583809 0.00452316
 0.00538656 0.00505593 0.00254668 0.01413394 0.00290359 0.00541287
 0.13376408 0.01810117 0.00261303 0.00292544 0.00263627 0.0056354
 0.00526123 0.01242309 0.015865   0.00492856 0.00274791 0.01349037
 0.03621431]"
13,Random Forest,0.6229166666666666,0.8636363636363635,0.8181818181818182,0.75,0.6666666666666666,0.6083333333333333,"{'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}","[1.32072528e-02 1.16211514e-02 1.88004837e-02 9.97752668e-03
 3.14589144e-01 9.21027584e-03 8.07341027e-04 5.84378662e-03
 1.08414390e-02 2.60185125e-02 1.04826475e-02 2.33686039e-02
 1.29855918e-03 4.29817585e-02 5.11841448e-04 1.55757031e-03
 5.07651806e-03 1.12673741e-02 4.05653061e-02 1.70988054e-03
 3.84880324e-03 6.45503493e-03 6.83694273e-03 2.71836650e-02
 2.80637255e-04 2.33641095e-03 2.06342924e-03 2.14008044e-02
 2.01310761e-03 3.17482540e-03 1.01443829e-03 2.69829074e-03
 2.77616653e-03 1.67610674e-03 1.20836521e-02 1.20338735e-03
 1.22027251e-02 2.00454138e-02 1.87746878e-02 4.44996710e-03
 1.78057781e-03 2.47418045e-03 3.95779121e-03 3.06493830e-02
 3.13367638e-03 6.83742531e-03 1.34296782e-02 2.79798080e-03
 3.61907074e-03 4.54111676e-03 6.22260120e-03 2.49931401e-03
 5.64135459e-04 3.75082313e-03 1.17509982e-02 8.44831185e-03
 3.14709951e-03 7.13459606e-03 9.50671615e-04 4.93910510e-03
 3.93485006e-03 4.22413756e-03 1.45448947e-03 6.79778699e-04
 4.25937129e-03 2.46571731e-02 4.91371258e-04 1.84669905e-03
 1.03302051e-03 1.05388846e-02 1.13715750e-03 6.85413139e-02
 5.85879696e-03 2.95610574e-02 4.48254844e-03 2.41534366e-03]"
